AGE,SEX,YEAR.MEASURED,GLASSES,HANDED,RANK,HEIGHT,WEIGHT
22,M,88,NEITHER,1,1,1.773,83
29,M,88,NEITHER,2,2,1.772,87.6
23,M,88,GLASSES,1,1,1.835,86
25,M,88,GLASSES,1,2,1.687,85.9
28,M,88,NEITHER,1,1,1.765,85.6
20,M,88,GLASSES,2,1,1.584,60
29,M,88,GLASSES,1,2,1.805,69.3
27,M,88,NEITHER,1,1,1.727,90
22,M,88,NEITHER,1,1,1.743,72.3
25,M,88,BOTH,1,4,1.708,63.6
23,M,88,NEITHER,1,4,1.783,85.6
22,M,88,NEITHER,1,1,1.805,70.1
25,M,88,NEITHER,1,1,1.754,81.2
23,M,88,NEITHER,1,1,1.928,95.4
20,M,88,GLASSES,1,1,1.724,75.4
28,M,88,GLASSES,1,2,1.811,101.7
26,M,88,NEITHER,1,4,1.745,74.3
26,M,88,NEITHER,1,2,1.732,61
28,M,88,BOTH,2,4,1.782,72.5
20,M,88,GLASSES,1,1,1.812,67
21,M,88,NEITHER,1,1,1.745,81
27,M,88,GLASSES,1,2,1.789,83
28,M,88,BOTH,1,4,1.686,68.3
28,M,88,GLASSES,1,3,1.729,61.9
26,M,88,NEITHER,1,2,1.776,85.8
22,M,88,NEITHER,1,1,1.777,71.5
22,M,88,NEITHER,1,1,1.831,70.2
22,M,88,NEITHER,1,1,1.712,72.2
25,M,88,GLASSES,1,1,1.794,90.9
20,M,88,NEITHER,2,1,1.797,82.9
27,M,88,NEITHER,2,2,1.807,93.9
24,M,88,GLASSES,2,1,1.829,77.9
21,M,88,NEITHER,1,1,1.731,73.8
24,M,88,BOTH,1,1,1.845,72.9
22,M,88,NEITHER,1,1,1.695,66.5
25,M,88,NEITHER,2,4,1.777,75.2
29,M,88,NEITHER,1,2,1.682,79
21,M,88,NEITHER,1,1,1.844,84.9
28,M,88,NEITHER,2,2,1.732,79.7
24,M,88,BOTH,1,4,1.733,72.1
20,M,88,GLASSES,1,1,1.665,81.2
23,M,88,NEITHER,1,1,1.762,75.1
28,M,88,NEITHER,2,1,1.8,101.4
26,M,88,BOTH,1,4,1.823,66.5
22,M,88,NEITHER,1,1,1.628,62.4
21,M,88,NEITHER,1,1,1.814,85.9
20,M,88,GLASSES,1,1,1.767,68.3
29,M,88,NEITHER,1,2,1.796,89.9
27,M,88,GLASSES,1,1,1.846,109.4
28,M,88,NEITHER,1,4,1.83,92.8
20,M,88,GLASSES,1,1,1.728,71.5
22,M,88,NEITHER,2,1,1.668,65.4
20,M,88,NEITHER,1,1,1.705,76.5
21,M,88,GLASSES,2,1,1.87,96.5
29,M,88,NEITHER,1,1,1.762,66
23,M,88,NEITHER,1,1,1.711,67
22,M,88,NEITHER,1,1,1.783,77.1
20,M,88,BOTH,1,1,1.783,74.6
21,M,88,NEITHER,1,1,1.742,84.6
21,M,88,NEITHER,1,1,1.758,73.9
22,M,88,NEITHER,1,1,1.761,84.1
28,M,88,NEITHER,2,2,1.801,84.7
24,M,88,NEITHER,1,1,1.831,100.9
21,M,88,NEITHER,1,1,1.707,61.5
21,M,88,NEITHER,1,1,1.661,59.1
26,M,88,NEITHER,1,1,1.712,64
24,M,88,NEITHER,2,1,1.85,75.8
21,M,88,CONTACTS,2,1,1.745,82.2
24,M,88,NEITHER,1,1,1.776,70.7
28,M,88,NEITHER,1,2,1.853,86
28,M,88,NEITHER,1,1,1.705,76.6
25,M,88,NEITHER,1,1,1.821,89.5
29,M,88,GLASSES,1,4,1.858,89.1
26,M,88,BOTH,1,4,1.716,73.6
21,M,88,NEITHER,1,1,1.742,64.1
20,M,88,NEITHER,1,1,1.811,86.3
22,M,88,BOTH,1,1,1.807,81.8
20,M,88,GLASSES,1,1,1.56,54.2
27,M,88,NEITHER,1,1,1.797,89.5
23,M,88,NEITHER,2,1,1.676,71.2
28,M,88,NEITHER,1,1,1.785,76.8
28,M,88,NEITHER,1,1,1.821,83.1
22,M,88,NEITHER,1,1,1.685,80.7
22,M,88,NEITHER,2,1,1.797,83.7
22,M,88,NEITHER,1,1,1.723,72.2
20,M,88,NEITHER,1,1,1.802,65.1
24,M,88,NEITHER,1,2,1.775,96.9
25,M,88,NEITHER,1,2,1.792,86.6
22,M,88,NEITHER,1,1,1.762,70.1
25,M,88,GLASSES,1,2,1.726,75.6
24,M,88,NEITHER,1,2,1.702,61.8
24,M,88,GLASSES,1,1,1.7,75.4
20,M,88,NEITHER,1,1,1.795,84.9
23,M,88,NEITHER,1,1,1.698,71.7
29,M,88,GLASSES,1,1,1.708,85.6
22,M,88,NEITHER,1,2,1.703,71.3
24,M,88,GLASSES,1,4,1.792,82.5
20,M,88,NEITHER,1,1,1.71,78.8
26,M,88,NEITHER,1,1,1.688,73.8
20,M,88,NEITHER,1,1,1.712,71.6
29,M,88,NEITHER,1,2,1.762,77.1
22,M,88,GLASSES,1,1,1.746,86.2
20,M,88,NEITHER,2,1,1.846,87.9
25,M,88,BOTH,1,4,1.755,75.1
22,M,88,NEITHER,1,1,1.83,79.4
26,M,88,GLASSES,2,2,1.725,66.2
22,M,88,NEITHER,1,2,1.744,75.4
24,M,88,NEITHER,1,2,1.743,74.2
26,M,88,NEITHER,1,2,1.755,72.2
